nct_id,sponsor or collaborator,start_date
NCT04042116,European Network of Gynaecological Oncological Trial Groups (ENGOT),"July 29, 2019"
NCT03396068,"NeuroRx, Inc.","December 1, 2019"
NCT03396068,Target Health Inc.,"December 1, 2019"
NCT03396068,"Vanguard, Inc","December 1, 2019"
NCT04151563,Bristol-Myers Squibb,"April 15, 2021"
NCT04151563,"Clovis Oncology, Inc.","April 15, 2021"
NCT04151563,Exelixis,"April 15, 2021"
NCT04151563,Eli Lilly and Company,"April 15, 2021"
NCT03549299,RHEACELL GmbH & Co. KG,"July 4, 2019"
NCT03549299,FGK Clinical Research GmbH,"July 4, 2019"
NCT03549299,Ticeba GmbH,"July 4, 2019"
NCT03549299,Granzer Regulatory Consulting & Services,"July 4, 2019"
NCT03529877,RHEACELL GmbH & Co. KG,"January 16, 2019"
NCT03529877,FGK Clinical Research GmbH,"January 16, 2019"
NCT03529877,Granzer Regulatory Consulting & Services,"January 16, 2019"
NCT03529877,Ticeba GmbH,"January 16, 2019"
NCT03395392,"NeuroRx, Inc.","January 1, 2021"
NCT03395392,Target Health Inc.,"January 1, 2021"
NCT03395392,"Bracket, Inc.","January 1, 2021"
NCT03395392,"Statistics Collaborative, Inc.","January 1, 2021"
NCT04365101,Celularity Incorporated,"May 13, 2020"
NCT04365101,IDRI,"May 13, 2020"
NCT04365101,Lung Biotechnology PBC,"May 13, 2020"
NCT04365101,California Institute for Regenerative Medicine (CIRM),"May 13, 2020"
NCT04686305,AstraZeneca,"January 29, 2021"
NCT04686305,"Daiichi Sankyo, Inc.","January 29, 2021"
NCT04684524,Sanofi,"December 1, 2020"
NCT04684524,Regeneron Pharmaceuticals,"December 1, 2020"
NCT04683003,Baxalta now part of Shire,"January 30, 2021"
NCT04683003,"Baxalta Innovations GmbH, now part of Shire","January 30, 2021"
NCT04683003,Takeda,"January 30, 2021"
NCT04682431,Pionyr Immunotherapeutics Inc.,"November 10, 2020"
NCT04682431,Gilead Sciences,"November 10, 2020"
NCT04681729,Sanofi,"December 10, 2020"
NCT04681729,Regeneron Pharmaceuticals,"December 10, 2020"
NCT04681677,"Xoft, Inc.",January 2021
NCT04681677,"Icad, Inc.",January 2021
NCT04678882,Sanofi,"January 12, 2021"
NCT04678882,Regeneron Pharmaceuticals,"January 12, 2021"
NCT04677933,OliPass Australia Pty Ltd,"June 3, 2020"
NCT04677933,Novotech (Australia) Pty Limited,"June 3, 2020"
NCT04676412,Merck Sharp & Dohme Corp.,"October 23, 2019"
NCT04676412,Eisai Inc.,"October 23, 2019"
NCT04676178,"Prometheus Biosciences, Inc.","December 14, 2020"
NCT04676178,Celerion,"December 14, 2020"
NCT04675450,"Conjupro Biotherapeutics, Inc.","June 30, 2021"
NCT04675450,"CSPC-NBP Pharmaceutical Co., Ltd.","June 30, 2021"
NCT04675333,ALX Oncology Inc.,January 2021
NCT04675333,Merck Sharp & Dohme Corp.,January 2021
NCT04675294,ALX Oncology Inc.,February 2021
NCT04675294,Merck Sharp & Dohme Corp.,February 2021
NCT04675021,AstraZeneca,"November 13, 2020"
NCT04675021,Quotient Sciences,"November 13, 2020"
NCT04674800,Mylan Inc.,"November 23, 2020"
NCT04674800,"Momenta Pharmaceuticals, Inc.","November 23, 2020"
NCT04674137,Chemlmmune Therapeutics LLC,December 2020
NCT04674137,EURRUS Biotech GmbH,December 2020
NCT04673630,AstraZeneca,"December 14, 2020"
NCT04673630,Amgen,"December 14, 2020"
NCT04671433,MeiraGTx UK II Ltd,"January 1, 2021"
NCT04671433,"Janssen Research & Development, LLC","January 1, 2021"
NCT04663464,"Radius Health, Inc.","November 16, 2020"
NCT04663464,"Medpace, Inc.","November 16, 2020"
NCT04662710,Merck Sharp & Dohme Corp.,"January 27, 2021"
NCT04662710,Eisai Inc.,"January 27, 2021"
NCT04662528,"Matinas Biopharma, Inc",June 2021
NCT04662528,Covance,June 2021
NCT04660890,Alexion Pharmaceuticals,December 2020
NCT04660890,Celerion,December 2020
NCT04657991,Pfizer,"January 29, 2021"
NCT04657991,Merck Sharp & Dohme Corp.,"January 29, 2021"
NCT04657744,"Genuine Research Center, Egypt","August 10, 2020"
NCT04657744,Hikma Pharmaceuticals LLC,"August 10, 2020"
NCT04656652,"Daiichi Sankyo, Inc.","December 14, 2020"
NCT04656652,AstraZeneca,"December 14, 2020"
NCT04654897,Nerre Therapeutics Ltd.,"September 30, 2020"
NCT04654897,Quotient Sciences,"September 30, 2020"
NCT04649021,BioNTech SE,December 2020
NCT04649021,"Shanghai Fosun Pharmaceutical Development Co, Ltd.",December 2020
NCT04646889,Arthrosi Therapeutics,December 2020
NCT04646889,Iqvia Pty Ltd,December 2020
NCT04646005,Regeneron Pharmaceuticals,"February 1, 2021"
NCT04646005,ISA Pharmaceuticals B.V.,"February 1, 2021"
NCT04644237,"Daiichi Sankyo, Inc.",February 2021
NCT04644237,AstraZeneca,February 2021
NCT04639219,AstraZeneca,"December 31, 2020"
NCT04639219,"Daiichi Sankyo Co., Ltd.","December 31, 2020"
NCT04634812,KBP Biosciences,"December 3, 2020"
NCT04634812,Covance,"December 3, 2020"
NCT04633278,Checkmate Pharmaceuticals,"November 30, 2020"
NCT04633278,IQVIA Biotech,"November 30, 2020"
NCT04632381,Effector Therapeutics,"November 16, 2020"
NCT04632381,"Medpace, Inc.","November 16, 2020"
NCT04629976,"Nucorion Pharmaceuticals, Inc.",December 2020
NCT04629976,Ligand Pharmaceuticals,December 2020
NCT04628494,Genmab,November 2020
NCT04628494,AbbVie,November 2020
NCT04626674,"Sarepta Therapeutics, Inc.","November 23, 2020"
NCT04626674,Roche Pharma AG,"November 23, 2020"
NCT04625855,Spero Therapeutics,"September 30, 2020"
NCT04625855,Covance,"September 30, 2020"
NCT04622774,"ImmunoGen, Inc.","October 26, 2020"
NCT04622774,MacroGenics,"October 26, 2020"
NCT04622046,Alexion Pharmaceuticals,November 2020
NCT04622046,Eidos Therapeutics,November 2020
NCT04622007,Effector Therapeutics,"December 18, 2020"
NCT04622007,"Medpace, Inc.","December 18, 2020"
NCT04621331,FibroGen,November 2020
NCT04621331,AstraZeneca,November 2020
NCT04620161,Anji Pharma,"September 22, 2020"
NCT04620161,Covance,"September 22, 2020"
NCT04620148,Akaza Bioscience Ltd,November 2020
NCT04620148,Iqvia Pty Ltd,November 2020
NCT04620109,Guangzhou HuiBoRui Biological Pharmaceutical Technology Co. Ltd,"August 26, 2020"
NCT04620109,Parexel,"August 26, 2020"
NCT04619004,"Daiichi Sankyo, Inc.","December 5, 2020"
NCT04619004,"Daiichi Sankyo Co., Ltd.","December 5, 2020"
NCT04618744,"Oramed, Ltd.",November 2020
NCT04618744,Integrium,November 2020
NCT04612751,"Daiichi Sankyo, Inc.","November 6, 2020"
NCT04612751,AstraZeneca,"November 6, 2020"
NCT04612725,AstraZeneca,"October 27, 2020"
NCT04612725,Iqvia Pty Ltd,"October 27, 2020"
NCT04612413,Enlivex Therapeutics Ltd.,"November 15, 2020"
NCT04612413,Cato Research,"November 15, 2020"
NCT04609696,Alexion Pharmaceuticals,October 2020
NCT04609696,Celerion,October 2020
NCT04609670,Alexion Pharmaceuticals,January 2021
NCT04609670,Celerion,January 2021
NCT04609566,Seagen Inc.,"December 31, 2020"
NCT04609566,Merck Sharp & Dohme Corp.,"December 31, 2020"
NCT04608812,"OncoSynergy, Inc.",October 2020
NCT04608812,"Infuseon Therapeutics, Inc.",October 2020
NCT04608344,Gilead Sciences,"November 4, 2020"
NCT04608344,Galapagos NV,"November 4, 2020"
NCT04606602,Silence Therapeutics plc,"November 18, 2020"
NCT04606602,"Medpace, Inc.","November 18, 2020"
NCT04606576,"Oramed, Ltd.",November 2020
NCT04606576,Integrium,November 2020
NCT04606537,KBP Biosciences,"October 24, 2020"
NCT04606537,Covance,"October 24, 2020"
NCT04605926,Equillium,November 2020
NCT04605926,Biocon Limited,November 2020
NCT04605094,AstraZeneca,"November 12, 2020"
NCT04605094,Iqvia Pty Ltd,"November 12, 2020"
NCT04603989,Guangzhou Henovcom Bioscience Co. Ltd.,"August 3, 2020"
NCT04603989,"Heilongjiang Zhenbaodao Pharmaceutical Co., Ltd.","August 3, 2020"
NCT04603001,"Loxo Oncology, Inc.",November 2020
NCT04603001,Eli Lilly and Company,November 2020
NCT04601857,"Taiho Oncology, Inc.",November 2020
NCT04601857,Merck Sharp & Dohme Corp.,November 2020
NCT04601844,Regeneron Pharmaceuticals,"November 16, 2020"
NCT04601844,Alnylam Pharmaceuticals,"November 16, 2020"
NCT04601207,New Age Ventures LLC,"July 20, 2020"
NCT04601207,KGK Science Inc.,"July 20, 2020"
NCT04600505,AstraZeneca,"October 19, 2020"
NCT04600505,Parexel,"October 19, 2020"
NCT04596293,"Bridge Biotherapeutics, Inc.","January 31, 2021"
NCT04596293,Covance,"January 31, 2021"
NCT04594811,NeoImmuneTech,"January 7, 2021"
NCT04594811,Bristol-Myers Squibb,"January 7, 2021"
NCT04592874,Alector Inc.,"November 30, 2020"
NCT04592874,AbbVie,"November 30, 2020"
NCT04592835,Daewoong Pharmaceutical Co. LTD.,"October 19, 2020"
NCT04592835,Novotech (Australia) Pty Limited,"October 19, 2020"
NCT04590963,AstraZeneca,"October 2, 2020"
NCT04590963,Innate Pharma,"October 2, 2020"
NCT04590248,AstraZeneca,"November 30, 2020"
NCT04590248,Parexel,"November 30, 2020"
NCT04590235,AstraZeneca,"November 12, 2020"
NCT04590235,Merck Sharp & Dohme Corp.,"November 12, 2020"
NCT04586231,Merck Sharp & Dohme Corp.,"December 15, 2020"
NCT04586231,Eisai Inc.,"December 15, 2020"
NCT04581733,"Modis Therapeutics, Inc.",December 2020
NCT04581733,"Zogenix, Inc.",December 2020
NCT04578535,Baxalta now part of Shire,"October 27, 2020"
NCT04578535,"Baxalta Innovations GmbH, now part of Shire","October 27, 2020"
NCT04578535,Takeda,"October 27, 2020"
NCT04578028,Ono Pharmaceutical Co. Ltd,"August 19, 2020"
NCT04578028,Parexel,"August 19, 2020"
NCT04576689,Ripple Therapeutics Pty Ltd,"October 30, 2020"
NCT04576689,Novotech (Australia) Pty Limited,"October 30, 2020"
NCT04576689,Ripple Therapeutics Corporation,"October 30, 2020"
NCT04571164,Luye Pharma Group Ltd.,"May 11, 2020"
NCT04571164,Parexel,"May 11, 2020"
NCT04568434,"Ionis Pharmaceuticals, Inc.",December 2020
NCT04568434,Akcea Therapeutics,December 2020
NCT04564092,GE Healthcare,October 2020
NCT04564092,PPD,October 2020
NCT04564040,AstraZeneca,"October 12, 2020"
NCT04564040,Parexel,"October 12, 2020"
NCT04559126,Enanta Pharmaceuticals,"September 8, 2020"
NCT04559126,PRA Health Sciences,"September 8, 2020"
NCT04557397,Hutchison Medipharma Limited,"September 22, 2020"
NCT04557397,Covance,"September 22, 2020"
NCT04556760,AstraZeneca,"November 26, 2020"
NCT04556760,Parexel,"November 26, 2020"
NCT04552327,Infectopharm Arzneimittel GmbH,September 2020
NCT04552327,Gesellschaft für Therapieforschung mbH,September 2020
NCT04551950,"EMD Serono Research & Development Institute, Inc.","October 19, 2020"
NCT04551950,"Merck KGaA, Darmstadt, Germany","October 19, 2020"
NCT04551950,EMD Serono,"October 19, 2020"
NCT04551599,Alexion Pharmaceuticals,"February 21, 2020"
NCT04551599,Celerion,"February 21, 2020"
NCT04551586,Alexion Pharmaceuticals,"March 24, 2020"
NCT04551586,Celerion,"March 24, 2020"
NCT04546347,AstraZeneca,"September 17, 2020"
NCT04546347,Quotient Sciences,"September 17, 2020"
NCT04545749,"United Biomedical Inc., Asia","September 25, 2020"
NCT04545749,COVAXX,"September 25, 2020"
NCT04542070,ViiV Healthcare,"November 4, 2020"
NCT04542070,"Janssen, LP","November 4, 2020"
NCT04542057,Verona Pharma plc,"September 22, 2020"
NCT04542057,Iqvia Pty Ltd,"September 22, 2020"
NCT04540965,"Calithera Biosciences, Inc","September 22, 2020"
NCT04540965,Novotech (Australia) Pty Limited,"September 22, 2020"
NCT04540419,NPO Petrovax,"September 11, 2020"
NCT04540419,CanSino Biologics Inc.,"September 11, 2020"
NCT04540185,"NeuroActiva, Inc.","November 1, 2020"
NCT04540185,"Biomed Industries, Inc.","November 1, 2020"
NCT04535986,Verona Pharma plc,"September 29, 2020"
NCT04535986,Iqvia Pty Ltd,"September 29, 2020"
NCT04534699,KBP Biosciences,"August 27, 2020"
NCT04534699,Covance,"August 27, 2020"
NCT04532957,KBP Biosciences,"August 11, 2020"
NCT04532957,Covance,"August 11, 2020"
NCT04532918,AstraZeneca,"September 10, 2020"
NCT04532918,Parexel,"September 10, 2020"
NCT04529772,Acerta Pharma BV,"October 8, 2020"
NCT04529772,AstraZeneca,"October 8, 2020"
NCT04526899,BioNTech SE,November 2020
NCT04526899,Regeneron Pharmaceuticals,November 2020
NCT04526691,"Daiichi Sankyo, Inc.","September 15, 2020"
NCT04526691,Merck Sharp & Dohme Corp.,"September 15, 2020"
NCT04523571,BioNTech RNA Pharmaceuticals GmbH,"July 28, 2020"
NCT04523571,"Shanghai Fosun Pharmaceutical Development Co, Ltd.","July 28, 2020"
NCT04523571,BioNTech SE,"July 28, 2020"
NCT04521686,"Loxo Oncology, Inc.","October 16, 2020"
NCT04521686,Eli Lilly and Company,"October 16, 2020"
NCT04520360,"SK Life Science, Inc.","August 27, 2020"
NCT04520360,PRA Health Sciences,"August 27, 2020"
NCT04519476,Oncotherapeutics,"November 1, 2020"
NCT04519476,Karyopharm Therapeutics Inc,"November 1, 2020"
NCT04516746,AstraZeneca,"August 28, 2020"
NCT04516746,Iqvia Pty Ltd,"August 28, 2020"
NCT04515394,"EMD Serono Research & Development Institute, Inc.","January 21, 2021"
NCT04515394,"Merck KGaA, Darmstadt, Germany","January 21, 2021"
NCT04515394,EMD Serono,"January 21, 2021"
NCT04512235,Caelum Biosciences,"August 25, 2020"
NCT04512235,IQVIA Biotech,"August 25, 2020"
NCT04511637,Bayer,"January 21, 2019"
NCT04511637,"Janssen Research & Development, LLC","January 21, 2019"
NCT04511611,Bayer,"January 24, 2019"
NCT04511611,"Janssen Research & Development, LLC","January 24, 2019"
NCT04510090,"Escient Pharmaceuticals, Inc","September 7, 2020"
NCT04510090,Novotech (Australia) Pty Limited,"September 7, 2020"
NCT04509674,Boehringer Ingelheim,"December 7, 2020"
NCT04509674,Eli Lilly and Company,"December 7, 2020"
NCT04508426,Arthrosi Therapeutics,"July 16, 2020"
NCT04508426,Celerion,"July 16, 2020"
NCT04507256,AstraZeneca,"August 18, 2020"
NCT04507256,Parexel,"August 18, 2020"
NCT04506463,Sun Pharmaceutical Industries Limited,December 2020
NCT04506463,Moebius Medical Ltd.,December 2020
NCT04505839,"ST Pharm Co., Ltd.","July 30, 2020"
NCT04505839,"KCRN Research, LLC","July 30, 2020"
NCT04504825,Caelum Biosciences,"August 25, 2020"
NCT04504825,IQVIA Biotech,"August 25, 2020"
NCT04498026,Stryker Craniomaxillofacial,November 2020
NCT04498026,Covance,November 2020
NCT04495322,"TaiGen Biotechnology Co., Ltd.","July 22, 2020"
NCT04495322,"R&G Pharma Studies Co.,Ltd.","July 22, 2020"
NCT04495179,AstraZeneca,"August 4, 2020"
NCT04495179,Parexel,"August 4, 2020"
NCT04492709,AstraZeneca,"July 30, 2020"
NCT04492709,Parexel,"July 30, 2020"
